Network	Station	Phase	Time	Time_trunc
AZ	TRO	S	2016-06-10T09:48:43.208300	2016-06-10T09:48:43
AZ	TRO	S	2016-06-10T09:49:58.408300	2016-06-10T09:49:58
AZ	TRO	S	2016-06-10T09:52:20.908300	2016-06-10T09:52:20
AZ	TRO	S	2016-06-10T09:54:02.708300	2016-06-10T09:54:02
AZ	TRO	S	2016-06-10T09:54:08.108300	2016-06-10T09:54:08
AZ	TRO	S	2016-06-10T09:54:39.608300	2016-06-10T09:54:39
AZ	TRO	S	2016-06-10T09:56:48.408300	2016-06-10T09:56:48
AZ	TRO	P	2016-06-10T10:04:19.808300	2016-06-10T10:04:19
AZ	TRO	S	2016-06-10T10:04:47.908300	2016-06-10T10:04:47
AZ	TRO	S	2016-06-10T10:05:59.708300	2016-06-10T10:05:59
AZ	TRO	S	2016-06-10T10:10:45.008300	2016-06-10T10:10:45
AZ	TRO	S	2016-06-10T10:11:53.008300	2016-06-10T10:11:53
AZ	TRO	S	2016-06-10T10:15:59.608300	2016-06-10T10:15:59
AZ	TRO	S	2016-06-10T10:17:08.408300	2016-06-10T10:17:08
AZ	TRO	S	2016-06-10T10:17:26.108300	2016-06-10T10:17:26
AZ	TRO	S	2016-06-10T10:18:00.108300	2016-06-10T10:18:00
AZ	TRO	S	2016-06-10T10:18:52.008300	2016-06-10T10:18:52
AZ	TRO	S	2016-06-10T10:19:13.308300	2016-06-10T10:19:13
AZ	TRO	S	2016-06-10T10:20:17.208300	2016-06-10T10:20:17
AZ	TRO	S	2016-06-10T10:20:42.008300	2016-06-10T10:20:42
AZ	TRO	S	2016-06-10T10:21:32.608300	2016-06-10T10:21:32
AZ	TRO	S	2016-06-10T10:26:15.808300	2016-06-10T10:26:15
AZ	TRO	S	2016-06-10T10:35:12.208300	2016-06-10T10:35:12
AZ	TRO	S	2016-06-10T10:36:05.908300	2016-06-10T10:36:05
AZ	TRO	S	2016-06-10T10:37:10.908300	2016-06-10T10:37:10
AZ	TRO	S	2016-06-10T10:38:00.508300	2016-06-10T10:38:00
AZ	TRO	S	2016-06-10T10:43:04.808300	2016-06-10T10:43:04
AZ	TRO	S	2016-06-10T10:45:10.008300	2016-06-10T10:45:10
AZ	TRO	S	2016-06-10T10:45:10.008300	2016-06-10T10:45:10
AZ	TRO	S	2016-06-10T10:49:40.908300	2016-06-10T10:49:40
AZ	TRO	S	2016-06-10T10:50:06.908300	2016-06-10T10:50:06
AZ	TRO	S	2016-06-10T10:51:24.408300	2016-06-10T10:51:24
AZ	TRO	S	2016-06-10T10:55:44.408300	2016-06-10T10:55:44
AZ	TRO	S	2016-06-10T10:56:00.408300	2016-06-10T10:56:00
AZ	TRO	S	2016-06-10T10:59:29.008300	2016-06-10T10:59:29
AZ	TRO	S	2016-06-10T11:00:27.008300	2016-06-10T11:00:27
AZ	TRO	S	2016-06-10T10:59:29.008300	2016-06-10T10:59:29
AZ	TRO	S	2016-06-10T11:00:27.008300	2016-06-10T11:00:27
AZ	TRO	S	2016-06-10T11:03:08.508300	2016-06-10T11:03:08
AZ	TRO	S	2016-06-10T11:05:38.908300	2016-06-10T11:05:38
AZ	TRO	S	2016-06-10T11:08:43.108300	2016-06-10T11:08:43
AZ	TRO	S	2016-06-10T11:17:20.908300	2016-06-10T11:17:20
AZ	TRO	S	2016-06-10T11:22:12.308300	2016-06-10T11:22:12
AZ	TRO	S	2016-06-10T11:25:23.008300	2016-06-10T11:25:23
AZ	TRO	S	2016-06-10T11:26:49.608300	2016-06-10T11:26:49
AZ	TRO	S	2016-06-10T11:28:13.908300	2016-06-10T11:28:13
AZ	TRO	S	2016-06-10T11:31:10.908300	2016-06-10T11:31:10
AZ	TRO	P	2016-06-10T11:36:33.608300	2016-06-10T11:36:33
AZ	TRO	S	2016-06-10T11:31:10.908300	2016-06-10T11:31:10
AZ	TRO	S	2016-06-10T11:37:34.008300	2016-06-10T11:37:34
AZ	TRO	S	2016-06-10T11:42:06.908300	2016-06-10T11:42:06
AZ	TRO	S	2016-06-10T11:42:45.408300	2016-06-10T11:42:45
AZ	TRO	S	2016-06-10T11:45:50.508300	2016-06-10T11:45:50
AZ	TRO	S	2016-06-10T11:45:57.908300	2016-06-10T11:45:57
AZ	TRO	S	2016-06-10T11:45:50.508300	2016-06-10T11:45:50
AZ	TRO	S	2016-06-10T11:45:57.908300	2016-06-10T11:45:57
AZ	TRO	S	2016-06-10T12:00:54.608300	2016-06-10T12:00:54
AZ	TRO	S	2016-06-10T12:01:44.508300	2016-06-10T12:01:44
AZ	TRO	P	2016-06-10T12:04:45.408300	2016-06-10T12:04:45
AZ	TRO	S	2016-06-10T12:00:54.608300	2016-06-10T12:00:54
AZ	TRO	S	2016-06-10T12:01:44.508300	2016-06-10T12:01:44
AZ	TRO	S	2016-06-10T12:11:41.308300	2016-06-10T12:11:41
AZ	TRO	S	2016-06-10T12:13:10.308300	2016-06-10T12:13:10
AZ	TRO	S	2016-06-10T12:14:22.908300	2016-06-10T12:14:22
AZ	TRO	S	2016-06-10T12:14:25.008300	2016-06-10T12:14:25
AZ	TRO	P	2016-06-10T12:20:43.108300	2016-06-10T12:20:43
AZ	TRO	P	2016-06-10T12:26:29.308300	2016-06-10T12:26:29
AZ	TRO	S	2016-06-10T12:23:07.408300	2016-06-10T12:23:07
AZ	TRO	S	2016-06-10T12:26:27.308300	2016-06-10T12:26:27
AZ	TRO	S	2016-06-10T12:31:39.408300	2016-06-10T12:31:39
AZ	TRO	S	2016-06-10T12:31:39.408300	2016-06-10T12:31:39
AZ	TRO	S	2016-06-10T12:43:24.808300	2016-06-10T12:43:24
