# Network Station Phase Time Probability
AZ TRO S 2016-06-10T22:46:15.608300 0.967
AZ TRO S 2016-06-10T22:53:07.108300 0.981
AZ TRO S 2016-06-10T22:55:09.008300 0.968
AZ TRO S 2016-06-10T22:59:32.708300 0.988
AZ TRO S 2016-06-10T23:03:32.808300 0.966
AZ TRO S 2016-06-10T23:04:55.608300 0.969
AZ TRO S 2016-06-10T23:05:31.808300 0.978
AZ TRO S 2016-06-10T23:11:05.908300 0.988
AZ TRO S 2016-06-10T23:12:16.908300 0.973
AZ TRO P 2016-06-10T23:31:02.508300 0.954
AZ TRO S 2016-06-10T23:17:35.408300 0.975
AZ TRO S 2016-06-10T23:17:44.408300 0.966
AZ TRO S 2016-06-10T23:18:55.208300 0.992
AZ TRO P 2016-06-10T23:31:02.508300 0.954
AZ TRO P 2016-06-10T23:43:00.608300 0.965
AZ TRO S 2016-06-10T23:35:55.608300 0.964
AZ TRO S 2016-06-10T23:36:02.108300 0.952
AZ TRO S 2016-06-10T23:36:27.408300 0.960
AZ TRO S 2016-06-10T23:43:02.508300 0.995
AZ TRO S 2016-06-10T23:45:11.508300 0.988
AZ TRO S 2016-06-10T23:46:16.008300 0.980
AZ TRO S 2016-06-10T23:46:49.408300 0.980
AZ TRO S 2016-06-10T23:46:57.708300 0.988
AZ TRO S 2016-06-10T23:46:16.008300 0.980
AZ TRO S 2016-06-10T23:46:49.408300 0.980
AZ TRO S 2016-06-10T23:46:57.708300 0.988
AZ TRO S 2016-06-10T23:47:40.108300 0.978
AZ TRO S 2016-06-10T23:48:04.008300 0.957
AZ TRO S 2016-06-10T23:48:54.408300 0.993
AZ TRO S 2016-06-10T23:49:14.008300 0.994
AZ TRO S 2016-06-10T23:49:41.208300 0.965
AZ TRO S 2016-06-10T23:51:08.508300 0.989
AZ TRO S 2016-06-10T23:56:34.508300 0.987
AZ TRO S 2016-06-10T23:58:36.408300 0.994
