# Network Station Phase Time Probability
AZ TRO S 2016-06-10T08:57:49.208300 0.980
AZ TRO S 2016-06-10T08:58:13.508300 0.959
AZ TRO S 2016-06-10T08:58:19.808300 0.987
AZ TRO S 2016-06-10T08:59:37.208300 0.973
AZ TRO S 2016-06-10T09:01:44.208300 0.989
AZ TRO S 2016-06-10T09:02:02.008300 0.994
AZ TRO S 2016-06-10T09:02:15.208300 0.996
AZ TRO S 2016-06-10T09:04:10.408300 0.980
AZ TRO S 2016-06-10T09:04:27.508300 0.972
AZ TRO S 2016-06-10T09:04:32.408300 0.986
AZ TRO S 2016-06-10T09:04:47.608300 0.985
AZ TRO S 2016-06-10T09:05:26.408300 0.972
AZ TRO S 2016-06-10T09:05:49.108300 0.985
AZ TRO S 2016-06-10T09:06:45.508300 0.988
AZ TRO S 2016-06-10T09:08:20.008300 0.992
AZ TRO S 2016-06-10T09:08:27.808300 0.952
AZ TRO S 2016-06-10T09:09:14.808300 0.988
AZ TRO S 2016-06-10T09:09:49.208300 0.974
AZ TRO S 2016-06-10T09:10:40.108300 0.990
AZ TRO S 2016-06-10T09:10:53.408300 0.973
AZ TRO S 2016-06-10T09:11:53.708300 0.993
AZ TRO S 2016-06-10T09:12:26.508300 0.988
AZ TRO S 2016-06-10T09:12:41.108300 0.970
AZ TRO S 2016-06-10T09:13:04.608300 0.970
AZ TRO P 2016-06-10T09:19:26.508300 0.984
AZ TRO P 2016-06-10T09:27:30.008300 0.978
AZ TRO S 2016-06-10T09:12:26.508300 0.988
AZ TRO S 2016-06-10T09:12:41.108300 0.970
AZ TRO S 2016-06-10T09:13:04.608300 0.970
AZ TRO S 2016-06-10T09:14:27.008300 0.979
AZ TRO S 2016-06-10T09:16:31.508300 0.990
AZ TRO S 2016-06-10T09:16:35.908300 0.959
AZ TRO S 2016-06-10T09:17:02.108300 0.971
AZ TRO S 2016-06-10T09:17:42.008300 0.992
AZ TRO S 2016-06-10T09:18:19.608300 0.966
AZ TRO S 2016-06-10T09:18:44.308300 0.989
AZ TRO S 2016-06-10T09:19:08.808300 0.989
AZ TRO S 2016-06-10T09:19:28.708300 0.982
AZ TRO S 2016-06-10T09:20:18.908300 0.989
AZ TRO S 2016-06-10T09:22:55.908300 0.992
AZ TRO S 2016-06-10T09:23:13.708300 0.968
AZ TRO S 2016-06-10T09:23:29.108300 0.993
AZ TRO S 2016-06-10T09:24:09.908300 0.985
AZ TRO S 2016-06-10T09:24:43.908300 0.992
AZ TRO S 2016-06-10T09:25:16.608300 0.997
AZ TRO S 2016-06-10T09:27:31.908300 0.969
AZ TRO S 2016-06-10T09:27:56.008300 0.960
AZ TRO P 2016-06-10T09:27:30.008300 0.978
AZ TRO S 2016-06-10T09:27:31.908300 0.969
AZ TRO S 2016-06-10T09:27:56.008300 0.960
AZ TRO S 2016-06-10T09:29:37.308300 0.953
AZ TRO S 2016-06-10T09:30:59.808300 0.996
AZ TRO S 2016-06-10T09:31:43.608300 0.993
AZ TRO S 2016-06-10T09:32:31.108300 0.975
AZ TRO S 2016-06-10T09:32:59.408300 0.957
AZ TRO S 2016-06-10T09:33:09.708300 0.984
AZ TRO S 2016-06-10T09:35:00.208300 0.983
AZ TRO S 2016-06-10T09:36:40.308300 0.987
AZ TRO S 2016-06-10T09:40:28.608300 0.962
AZ TRO S 2016-06-10T09:41:49.308300 0.974
AZ TRO S 2016-06-10T09:43:30.108300 0.963
AZ TRO S 2016-06-10T09:43:30.108300 0.963
AZ TRO S 2016-06-10T09:44:28.408300 0.994
AZ TRO S 2016-06-10T09:45:22.908300 0.985
AZ TRO S 2016-06-10T09:45:52.308300 0.991
AZ TRO S 2016-06-10T09:47:59.208300 0.993
AZ TRO S 2016-06-10T09:49:20.608300 0.957
AZ TRO S 2016-06-10T09:51:20.008300 0.993
AZ TRO S 2016-06-10T09:51:56.408300 0.993
AZ TRO S 2016-06-10T09:52:36.208300 0.992
AZ TRO S 2016-06-10T09:52:45.008300 0.968
AZ TRO S 2016-06-10T09:59:10.508300 0.973
AZ TRO S 2016-06-10T09:59:10.508300 0.973
AZ TRO S 2016-06-10T09:59:43.908300 0.955
AZ TRO S 2016-06-10T10:03:06.308300 0.986
AZ TRO S 2016-06-10T10:04:01.208300 0.950
AZ TRO S 2016-06-10T10:04:22.508300 0.959
AZ TRO S 2016-06-10T10:05:02.108300 0.955
AZ TRO S 2016-06-10T10:07:56.708300 0.982
AZ TRO S 2016-06-10T10:09:55.508300 0.993
AZ TRO S 2016-06-10T10:11:48.308300 0.979
AZ TRO S 2016-06-10T10:14:06.108300 0.984
AZ TRO S 2016-06-10T10:14:06.108300 0.984
AZ TRO S 2016-06-10T10:15:25.708300 0.978
AZ TRO S 2016-06-10T10:16:23.408300 0.981
AZ TRO S 2016-06-10T10:17:43.008300 0.953
AZ TRO S 2016-06-10T10:20:01.108300 0.995
AZ TRO S 2016-06-10T10:23:36.308300 0.990
AZ TRO S 2016-06-10T10:24:22.408300 0.987
AZ TRO S 2016-06-10T10:25:18.608300 0.986
AZ TRO S 2016-06-10T10:27:23.508300 0.972
AZ TRO S 2016-06-10T10:28:06.008300 0.976
AZ TRO S 2016-06-10T10:29:24.508300 0.984
AZ TRO S 2016-06-10T10:29:24.508300 0.984
AZ TRO S 2016-06-10T10:31:17.408300 0.996
AZ TRO S 2016-06-10T10:31:41.408300 0.997
AZ TRO S 2016-06-10T10:32:01.008300 0.992
AZ TRO S 2016-06-10T10:38:17.908300 0.972
AZ TRO S 2016-06-10T10:39:27.408300 0.992
AZ TRO S 2016-06-10T10:41:26.408300 0.954
AZ TRO S 2016-06-10T10:44:14.508300 0.991
AZ TRO S 2016-06-10T10:44:14.508300 0.991
AZ TRO S 2016-06-10T10:45:44.808300 0.964
AZ TRO S 2016-06-10T10:46:53.708300 0.995
AZ TRO S 2016-06-10T10:48:28.008300 0.966
AZ TRO S 2016-06-10T10:52:08.208300 0.976
AZ TRO S 2016-06-10T10:56:22.108300 0.992
AZ TRO S 2016-06-10T10:56:41.708300 0.957
AZ TRO P 2016-06-10T11:01:09.208300 0.973
AZ TRO P 2016-06-10T11:14:14.408300 0.982
AZ TRO S 2016-06-10T11:01:11.508300 0.991
